Acorus_americanus	MTII
Allamanda_cathartica	MGVU
Alsophila_spinulosa	GANB
Amborella_trichopoda	URDJ
Angiopteris_evecta	NHCM
Anomodon_attenuatus	QMWB
Arabidopsis_thaliana	Arath_TAIR10
Bazzania_trilobata	WZYK
Boehmeria_nivea	ACFP
Bryum_argenteum	JMXW
Carica_papaya	Carpa_ASGPBv0.4
Catharanthus_roseus	UOYN
Cedrus_libani	GGEA
Ceratodon_purpureus	FFPD
Chaetosphaeridium_globosum	DRGY
Chara_vulgaris	MWXT
Chlorokybus_atmophyticus	AZZW
Colchicum_autumnale	NHIX
Coleochaete_irregularis	QPDY
Coleochaete_scutata	VQBJ
Cosmarium_ochthodes	STKJ
Cunninghamia_lanceolata	ZQVF
Cycas_micholitzii	XZUY
Cylindrocystis_brebissonii	RPGL
Cylindrocystis_cushleckae	JOJQ
Dendrolycopodium_obscurum	XNXF
Dioscorea_villosa	OCWZ
Diospyros_malabarica	KVFU
Entransia_fimbriata	BFIK
Ephedra_sinica	VDAO
Equisetum_diffusum	CAPN
Eschscholzia_californica	EVOD
Ginkgo_biloba	SGTW
Gnetum_montanum	GTHK
Hedwigia_ciliata	YWNF
Hibiscus_cannabinus	OLXF
Houttuynia_cordata	CSSK
Huperzia_squarrosa	GAON
Inula_helenium	AFQQ
Ipomoea_purpurea	VXKB
Juniperus_scopulorum	XMGP
Kadsura_heteroclita	NWMY
Klebsormidium_subtile	FQLP
Kochia_scoparia	WGET
Larrea_tridentata	UDUT
Leucodon_brachypus	ZACW
Marchantia_emarginata	TFYI
Marchantia_polymorpha	JPYU
Mesostigma_viride	KYIO
Mesotaenium_endlicherianum	WDCW
Metzgeria_crassipilis	NRWZ
Monomastix_opisthostigma	BTFM
Mougeotia_sp	ZRMT
Nephroselmis_pyriformis	ISIM
Netrium_digitus	FFGR
Nothoceros_aenigmaticus	DXOU
Nothoceros_vincentianus	TCBC
Nuphar_advena	WTKZ
Ophioglossum_petiolatum	DJSE
Oryza_sativa	Orysa_v7.0
Penium_margaritaceum	AEKF
Physcomitrella_patens	Phypa_v3.0
Pinus_taeda	Pinta_v2.0
Podophyllum_peltatum	WFBF
Polytrichum_commune	SZYG
Populus_trichocarpa	Poptr_v3.0
Prumnopitys_andina	EGLZ
Pseudolycopodiella_caroliniana	UPMJ
Psilotum_nudum	QVMR
Pyramimonas_parkeae	TNAW
Rhynchostegium_serrulatum	JADL
Ricciocarpos_natans	WJLO
Rosmarinus_officinalis	FDMM
Rosulabryum_cf_capillare	XWHK
Roya_obtusa	XRTZ
Sabal_bermudana	HWUP
Sarcandra_glabra	OSHQ
Saruma_henryi	QDVW
Sciadopitys_verticillata	YFZK
Selaginella_moellendorffii_1kp	ZZOL
Selaginella_moellendorffii_genome	Selmo_v1.0
Smilax_bona-nox	MWYQ
Sorghum_bicolor	Sorbi_v2.1
Sphaerocarpos_texanus	HERT
Sphagnum_lescurii	GOWD
Spirogyra_sp	HAOX
Spirotaenia_minuta	NNHQ
Tanacetum_parthenium	DUQG
Taxus_baccata	WWSS
Thuidium_delicatulum	EEMJ
Uronema_sp	ISGT
Vitis_vinifera	Vitvi_Genoscope.12X
Welwitschia_mirabilis	TOXE
Yucca_filamentosa	ICNN
