Len1	Boot1	Len2	Boot2
0.283824465	N897	0.1522363697	N667
0.1512978772	N7	0.257552876	N303
0.0988699994	N1	0.1128188254	N301
0.2911938811	N0	0.2173187646	N300
0.4590227653	N16	0.4437548493	N299
0.4210483069	N8	0.3989913266	N0
0.6918798751	N23	0.1882403513	N1
0.0803899136	N370	0.0442064473	N298
0.0761786982	N85	0.0838656368	N54
0.522765	N43	0.7556133999	N16
0.0453002992	N42	0.0474480366	N15
0.0382142234	N38	0.0757708834	N13
0.0757476102	N40	0.1355153818	N11
0.3982243675	N84	0.5471753234	N53
0.0424997322	N55	0.0580706682	N28
0.0380164717	N44	0.0342104715	N17
0.0407333719	N46	0.0847151286	N19
0.0306683067	N45	0.0532740819	N18
0.0487808795	N54	0.0973703677	N26
0.0334427979	N50	0.0513054264	N25
0.0233444988	N48	0.0483268253	N23
0.0176286348	N49	0.0346802321	N24
0.0415142299	N53	0.0455778518	N22
0.0620746063	N52	0.1002663559	N21
0.0084705741	N51	0.0210291119	N20
0.0533954679	N83	0.0410955967	N52
0.0528834321	N63	0.1051214199	N36
0.0392262366	N62	0.0743452468	N35
0.083115444	N56	0.1377074859	N29
0.0295014216	N61	0.0337018995	N34
0.0243563676	N58	0.0491349631	N33
0.0266586813	N57	0.044378306	N32
0.0286574742	N60	0.0398652277	N31
0.0186696201	N59	0.0223513601	N30
0.0496211342	N82	0.0368096369	N51
0.0378149036	N81	0.0420060615	N50
0.0290841384	N71	0.0419820984	N49
0.0275396422	N69	0.0394475261	N47
0.0236317029	N66	0.0250548982	N44
0.021441279	N68	0.0313194651	N46
0.0260725981	N67	0.0552812484	N45
0.0606523816	N64	0.0622753204	N43
0.0275440755	N80	0.0353788058	N42
0.0280685855	N72	0.0968116201	N37
0.0225933746	N79	0.0118478989	N41
0.0757495542	N77	0.1266134378	N38
0.0321089383	N74	0.0392581604	N40
0.0343004049	N73	0.0736522901	N39
0.1609737009	N93	0.2341489348	N4
0.0994447526	N107	0.1082248666	N7
0.6094740598	N103	0.4738301273	N6
0.2443977763	N99	0.1430429503	N5
0.0791473312	N155	0.0286798159	N77
0.126463602	N123	0.0760298335	N74
0.0938084693	N122	0.1744605634	N73
0.2893294856	N121	0.3414985553	N72
0.0600223295	N120	0.0717678107	N71
0.0975168254	N115	0.1142199154	N70
0.1023195862	N113	0.2108868351	N69
1e-06	N112	0.0123134384	N68
0.1261086274	N119	0.1551170012	N67
0.0733715404	N116	0.0800375792	N66
0.0893310876	N152	0.0709928405	N64
0.0941761968	N151	0.1461957077	N63
0.117699357	N149	0.0626221606	N62
0.1170382981	N135	0.0967674237	N61
0.2895229542	N132	0.4168300902	N60
0.4829606188	N130	0.6700273961	N59
0.4027425447	N127	0.4652161822	N58
0.1285102373	N126	0.1171537855	N57
0.145264028	N124	0.2275421713	N56
0.2800239593	N156	0.2064235093	N129
0.3269515495	N222	0.286343986	N123
0.1869898435	N221	0.2525461759	N122
0.111012021	N166	0.1333219456	N83
0.1975641246	N164	0.1697689351	N82
0.111100022	N161	0.1317728035	N79
0.0623211564	N163	0.084667801	N81
0.0663240398	N162	0.1233950457	N80
0.4404833923	N157	0.3352311096	N78
0.1957698791	N220	0.2314166694	N121
0.064182825	N219	0.1079071941	N120
0.0886990944	N175	0.1007068331	N88
0.0389814109	N174	0.0350902124	N87
0.0461904255	N218	0.0432147361	N119
0.0711647593	N184	0.088502554	N96
0.1425173811	N177	0.1675764699	N90
0.0325743913	N176	0.0376353495	N89
0.1669089322	N182	0.1920132398	N95
0.0278633863	N178	0.0227570524	N91
0.0388022907	N181	0.051232107	N94
0.0031530132	N179	0.0044543647	N92
0.1026317486	N215	0.0469825767	N117
0.0749321806	N213	0.095407134	N116
0.0518811593	N191	0.0545749426	N98
0.0442199501	N190	0.0637342576	N97
0.049624667	N211	0.0412965598	N115
0.025646097	N200	0.0364771449	N99
0.0169716219	N209	0.0112712777	N106
0.0202323288	N204	0.0176119743	N105
0.035710358	N202	0.0671457832	N103
0.0705951186	N207	0.0902762444	N102
0.0245124037	N206	0.0176426794	N101
0.0467976788	N205	0.0744069888	N100
0.0567361282	N198	0.0724466195	N113
0.0117013897	N193	0.0093940059	N108
0.0215243715	N192	0.0483891012	N107
0.015365492	N197	0.0153801399	N112
0.014287701	N196	0.0495842097	N111
2e-06	N195	0.0024331794	N110
0.0010863718	N194	2.3736e-06	N109
0.1706861999	N171	0.1696625625	N86
0.0559371765	N169	0.0700230672	N85
0.0020676077	N168	0.0102180292	N84
0.4199140441	N232	0.4422204414	N127
0.2608383996	N230	0.3268475912	N126
0.0617175694	N229	0.0936932149	N125
0.0787001106	N365	0.0575596626	N293
0.0828831504	N364	0.0269238034	N292
0.3743911547	N239	0.5037534082	N136
0.3553194684	N237	0.3556211515	N135
1e-06	N236	0.0190158641	N134
1e-06	N235	0.0279952719	N133
1e-06	N234	0.0077761972	N132
0.159466406	N362	0.1010438302	N291
0.1041197012	N324	0.0622841223	N289
0.07644093569999999	N269	0.0447369174	N194
0.3209135173	N240	0.6042940949	N170
0.0598399008	N268	0.0447687568	N193
0.2213661577	N252	0.3007550434	N178
0.2151242048	N245	0.330424622	N171
0.0811691247	N251	0.1296876752	N177
0.0908576374	N250	0.088651748	N176
0.1372716749	N249	0.1931153084	N175
0.1088800313	N246	0.15467369	N172
0.1043964452	N248	0.1609883214	N174
0.0120459891	N247	0.0109827851	N173
0.0747360431	N267	0.0296212138	N191
0.0762732678	N266	0.0717009317	N190
0.1323490191	N256	0.1735235421	N181
0.1847449079	N255	0.193493197	N180
0.1047214097	N254	0.1226890986	N179
0.17099538	N265	0.1506278676	N189
0.1599420708	N264	0.2488823256	N188
0.1399733755	N263	0.2177012898	N187
0.1537485146	N262	0.1655850442	N186
0.419551484	N258	0.4798302914	N183
0.0472330575	N257	0.0672219358	N182
0.2548042012	N323	0.4368314928	N288
0.0769099218	N322	0.088950025	N287
0.0743481215	N287	0.0797486645	N286
0.2616986914	N285	0.2958557791	N285
0.0018860345	N284	0.006201142	N284
7.5121e-06	N275	0.0002389092	N243
1e-06	N273	0.0001475377	N239
0.0177822295	N272	0.0052918115	N238
1e-06	N283	2.9819e-06	N283
2e-06	N282	0.0061755701	N282
0.0177822295	N276	7.92494e-05	N268
1e-06	N277	3.1844e-06	N251
2e-06	N278	0.0002161576	N257
0.0616270552	N321	0.0391123089	N237
0.0613442472	N294	0.061756506	N207
0.1291513225	N290	0.1481596313	N206
0.0815206117	N289	0.0827225902	N205
0.0451752748	N288	0.0293685793	N204
0.0450763485	N293	0.0312362823	N197
0.0625965279	N291	0.056382816	N195
0.1949043431	N292	0.2890842448	N196
0.0641888752	N320	0.0449110098	N236
0.2527049282	N295	0.3136601924	N208
0.1109791455	N319	0.1486834227	N235
0.09468768	N318	0.123823499	N234
0.0333600764	N298	0.0422871908	N214
0.0054298639	N296	0.016800775	N213
0.0025898331	N297	0.0034474101	N209
0.0244806281	N317	0.048789674	N233
