0	0	gtdb	gtdb	Asgard
0	0	gtdb	10k	Asgard
0.0754902	.25	gtdb	16k	Asgard
0.0381949	.1905	gtdb	200k	Asgard
0	0	10k	gtdb	Asgard
0	0	10k	10k	Asgard
0.0714286	.2	10k	16k	Asgard
0.128571	.2	10k	200k	Asgard
0.0754902	.25	16k	gtdb	Asgard
0.0714286	.1667	16k	10k	Asgard
0	0	16k	16k	Asgard
0.0613003	.2222	16k	200k	Asgard
0.0381949	.2143	200k	gtdb	Asgard
0.128571	.3333	200k	10k	Asgard
0.0613003	.2778	200k	16k	Asgard
0	0	200k	200k	Asgard
0	0	gtdb	gtdb	Aquificae
0	0	gtdb	10k	Aquificae
0.0108359	.0625	gtdb	16k	Aquificae
0.00453473	.0233	gtdb	200k	Aquificae
0	0	10k	gtdb	Aquificae
0	0	10k	10k	Aquificae
0	0	10k	16k	Aquificae
0	0	10k	200k	Aquificae
0.0108359	.0625	16k	gtdb	Aquificae
0	0	16k	10k	Aquificae
0	0	16k	16k	Aquificae
0	0	16k	200k	Aquificae
0.00453473	.0227	200k	gtdb	Aquificae
0	0	200k	10k	Aquificae
0	0	200k	16k	Aquificae
0	0	200k	200k	Aquificae
0	0	gtdb	gtdb	Ca. Dojkabacteria
0	0	gtdb	10k	Ca. Dojkabacteria
0.00879121	.0769	gtdb	16k	Ca. Dojkabacteria
0.0502767	.1304	gtdb	200k	Ca. Dojkabacteria
0	0	10k	gtdb	Ca. Dojkabacteria
0	0	10k	10k	Ca. Dojkabacteria
0.0587413	.1818	10k	16k	Ca. Dojkabacteria
0.0587413	.1818	10k	200k	Ca. Dojkabacteria
0.00879121	.0769	16k	gtdb	Ca. Dojkabacteria
0.0587413	.1818	16k	10k	Ca. Dojkabacteria
0	0	16k	16k	Ca. Dojkabacteria
0	0	16k	200k	Ca. Dojkabacteria
0.0502767	.1304	200k	gtdb	Ca. Dojkabacteria
0.0587413	.1818	200k	10k	Ca. Dojkabacteria
0	0	200k	16k	Ca. Dojkabacteria
0	0	200k	200k	Ca. Dojkabacteria
0	0	gtdb	gtdb	Nitrospinae/Tectomicrobia
0.266667	.5	gtdb	10k	Nitrospinae/Tectomicrobia
0.047619	.1429	gtdb	16k	Nitrospinae/Tectomicrobia
0.0417408	.1333	gtdb	200k	Nitrospinae/Tectomicrobia
0.266667	.3333	10k	gtdb	Nitrospinae/Tectomicrobia
0	0	10k	10k	Nitrospinae/Tectomicrobia
0.0764706	.25	10k	16k	Nitrospinae/Tectomicrobia
0.0545752	.125	10k	200k	Nitrospinae/Tectomicrobia
0.047619	.1667	16k	gtdb	Nitrospinae/Tectomicrobia
0.0764706	.25	16k	10k	Nitrospinae/Tectomicrobia
0	0	16k	16k	Nitrospinae/Tectomicrobia
0.0111048	.1429	16k	200k	Nitrospinae/Tectomicrobia
0.0417408	.1667	200k	gtdb	Nitrospinae/Tectomicrobia
0.0545752	.125	200k	10k	Nitrospinae/Tectomicrobia
0.0111048	.1364	200k	16k	Nitrospinae/Tectomicrobia
0	0	200k	200k	Nitrospinae/Tectomicrobia
0	0	gtdb	gtdb	Ca. Dependentiae
0.047952	.0833	gtdb	10k	Ca. Dependentiae
0.0718954	.125	gtdb	16k	Ca. Dependentiae
0.0625296	.2609	gtdb	200k	Ca. Dependentiae
0.047952	.0833	10k	gtdb	Ca. Dependentiae
0	0	10k	10k	Ca. Dependentiae
0	0	10k	16k	Ca. Dependentiae
0	0	10k	200k	Ca. Dependentiae
0.0718954	.125	16k	gtdb	Ca. Dependentiae
0	0	16k	10k	Ca. Dependentiae
0	0	16k	16k	Ca. Dependentiae
0	0	16k	200k	Ca. Dependentiae
0.0625296	.2609	200k	gtdb	Ca. Dependentiae
0	0	200k	10k	Ca. Dependentiae
0	0	200k	16k	Ca. Dependentiae
0	0	200k	200k	Ca. Dependentiae
0	0	gtdb	gtdb	DPANN
0.185714	.4	gtdb	10k	DPANN
0.119481	.55	gtdb	16k	DPANN
0.0700375	.4272	gtdb	200k	DPANN
0.185714	.5	10k	gtdb	DPANN
0	0	10k	10k	DPANN
0.174603	.4286	10k	16k	DPANN
0.174603	.4286	10k	200k	DPANN
0.119481	.55	16k	gtdb	DPANN
0.174603	.2857	16k	10k	DPANN
0	0	16k	16k	DPANN
0.0487912	.2692	16k	200k	DPANN
0.0700375	.432	200k	gtdb	DPANN
0.174603	.2857	200k	10k	DPANN
0.0487912	.2692	200k	16k	DPANN
0	0	200k	200k	DPANN
0	0	gtdb	gtdb	Synergistetes
0.0935673	.1579	gtdb	10k	Synergistetes
0.0192642	.0833	gtdb	16k	Synergistetes
0.008445	.0678	gtdb	200k	Synergistetes
0.0935673	.1579	10k	gtdb	Synergistetes
0	0	10k	10k	Synergistetes
0.0989011	.0385	10k	16k	Synergistetes
0.102271	.0769	10k	200k	Synergistetes
0.0192642	.0833	16k	gtdb	Synergistetes
0.0989011	.0385	16k	10k	Synergistetes
0	0	16k	16k	Synergistetes
0.00762463	.0323	16k	200k	Synergistetes
0.008445	.0678	200k	gtdb	Synergistetes
0.102271	.0769	200k	10k	Synergistetes
0.00762463	.0323	200k	16k	Synergistetes
0	0	200k	200k	Synergistetes
0	0	gtdb	gtdb	sulfur-oxidizing_symbionts
0	0	gtdb	10k	sulfur-oxidizing_symbionts
0	0	gtdb	16k	sulfur-oxidizing_symbionts
0.0483516	.1538	gtdb	200k	sulfur-oxidizing_symbionts
0	0	10k	gtdb	sulfur-oxidizing_symbionts
0	0	10k	10k	sulfur-oxidizing_symbionts
0.00236374	.0667	10k	16k	sulfur-oxidizing_symbionts
0.00236374	.0667	10k	200k	sulfur-oxidizing_symbionts
0	0	16k	gtdb	sulfur-oxidizing_symbionts
0.00236374	.0667	16k	10k	sulfur-oxidizing_symbionts
0	0	16k	16k	sulfur-oxidizing_symbionts
0	0	16k	200k	sulfur-oxidizing_symbionts
0.0483516	.1538	200k	gtdb	sulfur-oxidizing_symbionts
0.00236374	.0667	200k	10k	sulfur-oxidizing_symbionts
0	0	200k	16k	sulfur-oxidizing_symbionts
0	0	200k	200k	sulfur-oxidizing_symbionts
